"","USGS Gage","Model","Pct. Error"
"Min. 1 Day Min",2.19,8.41,-284
"Med. 1 Day Min",30,33.5,-11.7
"Min. 3 Day Min",2.22,8.52,-284
"Med. 3 Day Min",33,35.3,-6.97
"Min. 7 Day Min",2.57,9,-250
"Med. 7 Day Min",36.5,39.2,-7.4
"Min. 30 Day Min",10.2,12.2,-19.6
"Med. 30 Day Min",62.3,58.3,6.42
"Min. 90 Day Min",23,29.1,-26.5
"Med. 90 Day Min",125,93.7,25
"7Q10",11.3,14.1,-24.8
"Year of 90-Day Low Flow",2002,2002,0
"Drought Year Mean",111.473178082192,170.187023829178,-52.7
"Mean Baseflow",208,237,-13.9
