"","USGS Gage","Model","Pct. Error"
"Min. 1 Day Min",3.6,7.26,-102
"Med. 1 Day Min",21,39,-85.7
"Min. 3 Day Min",4.29,7.41,-72.7
"Med. 3 Day Min",28.7,41.8,-45.6
"Min. 7 Day Min",6.36,8.17,-28.5
"Med. 7 Day Min",40.9,47.3,-15.6
"Min. 30 Day Min",13.5,12.5,7.41
"Med. 30 Day Min",81,62.9,22.3
"Min. 90 Day Min",25,33.8,-35.2
"Med. 90 Day Min",162,120,25.9
"7Q10",15.1,15.3,-1.32
"Year of 90-Day Low Flow",2002,2002,0
"Drought Year Mean",164.86901369863,228.426874970912,-38.6
"Mean Baseflow",260,324,-24.6
