"","USGS Gage","Model","Pct. Error"
"Min. 1 Day Min",17.5,12.9,26.3
"Med. 1 Day Min",105,49.8,52.6
"Min. 3 Day Min",17.9,13.1,26.8
"Med. 3 Day Min",115,51.5,55.2
"Min. 7 Day Min",19.3,13.9,28
"Med. 7 Day Min",124,54.8,55.8
"Min. 30 Day Min",32.6,20.6,36.8
"Med. 30 Day Min",142,70.7,50.2
"Min. 90 Day Min",56.2,42.8,23.8
"Med. 90 Day Min",205,113,44.9
"7Q10",51.5,22.6,56.1
"Year of 90-Day Low Flow",2002,1999,100
"Drought Year Mean",133.488219178082,107.008790587057,19.8
"Mean Baseflow",235,232,1.28
