"","USGS Gage","Model","Pct. Error"
"Min. 1 Day Min",557,897,-61
"Med. 1 Day Min",1130,1070,5.31
"Min. 3 Day Min",618,898,-45.3
"Med. 3 Day Min",1180,1080,8.47
"Min. 7 Day Min",646,899,-39.2
"Med. 7 Day Min",1250,1130,9.6
"Min. 30 Day Min",947,919,2.96
"Med. 30 Day Min",1540,1360,11.7
"Min. 90 Day Min",1280,1150,10.2
"Med. 90 Day Min",2240,2370,-5.8
"7Q10",852,931,-9.27
"Year of 90-Day Low Flow",2002,2002,0
"Drought Year Mean",2510.65753424658,2537.49181652701,-1.07
"Mean Baseflow",2560,3910,-52.7
