"","USGS Gage","Model","Pct. Error"
"Min. 1 Day Min",754,1030,-36.6
"Med. 1 Day Min",917,1090,-18.9
"Min. 3 Day Min",787,1030,-30.9
"Med. 3 Day Min",964,1100,-14.1
"Min. 7 Day Min",793,1030,-29.9
"Med. 7 Day Min",1070,1130,-5.61
"Min. 30 Day Min",810,1040,-28.4
"Med. 30 Day Min",1340,1240,7.46
"Min. 90 Day Min",990,1070,-8.08
"Med. 90 Day Min",2000,2020,-1
"7Q10",860,1040,-20.9
"Year of 90-Day Low Flow",2002,2002,0
"Drought Year Mean",1708.21095890411,1970.22826312551,-15.3
"Mean Baseflow",1840,3290,-78.8
